Precinct,County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
Quitman,Brooks,4117,305,877,364,3,1549,1549,
Barwick,Brooks,350,105,70,35,1,211,211,
Dixie,Brooks,1066,161,255,102,1,519,519,
Briggs,Brooks,2317,411,690,187,0,1288,1288,
Nankin,Brooks,735,168,217,50,0,435,435,
Morven,Brooks,1962,347,573,179,0,1099,1099,
Pavo,Brooks,607,166,121,61,0,348,348,
