Precinct,County,Registered Voters,Elizabeth Diane Thomas (I) (Dem)_Election Day Votes,Elizabeth Diane Thomas (I) (Dem)_Advanced Voting Votes,Elizabeth Diane Thomas (I) (Dem)_Absentee by Mail Votes,Elizabeth Diane Thomas (I) (Dem)_Provisional Votes,Elizabeth Diane Thomas (I) (Dem)_Choice Total,Total,
Quitman,Brooks,4117,116,327,269,0,712,712,
Barwick,Brooks,350,20,18,17,0,55,55,
Dixie,Brooks,1066,66,105,94,0,265,265,
