Precinct,County,Registered Voters,Becky P. Rothrock (I) (Rep)_Election Day Votes,Becky P. Rothrock (I) (Rep)_Advanced Voting Votes,Becky P. Rothrock (I) (Rep)_Absentee by Mail Votes,Becky P. Rothrock (I) (Rep)_Provisional Votes,Becky P. Rothrock (I) (Rep)_Choice Total,Total,
Quitman,Brooks,4117,315,943,393,2,1653,1653,
Barwick,Brooks,350,107,72,38,1,218,218,
Dixie,Brooks,1066,164,268,117,1,550,550,
Briggs,Brooks,2317,417,701,188,0,1306,1306,
Nankin,Brooks,735,170,218,55,0,443,443,
Morven,Brooks,1962,354,573,199,0,1126,1126,
Pavo,Brooks,607,172,122,67,0,361,361,
