Precinct,County,Registered Voters,James Henry Maxwell (I) (Dem)_Election Day Votes,James Henry Maxwell (I) (Dem)_Advanced Voting Votes,James Henry Maxwell (I) (Dem)_Absentee by Mail Votes,James Henry Maxwell (I) (Dem)_Provisional Votes,James Henry Maxwell (I) (Dem)_Choice Total,Total,
Quitman,Brooks,4117,90,256,223,0,569,569,
Dixie,Brooks,1066,60,115,77,1,253,253,
Nankin,Brooks,735,7,43,15,0,65,65,
