Precinct,County,Registered Voters,"Keith Washington, Sr. (Dem)_Election Day Votes","Keith Washington, Sr. (Dem)_Advanced Voting Votes","Keith Washington, Sr. (Dem)_Absentee by Mail Votes","Keith Washington, Sr. (Dem)_Provisional Votes","Keith Washington, Sr. (Dem)_Choice Total",Total,
Golden Isles,Twiggs,1692,263,389,258,1,911,911,
Shady Grove/Tarvers,Twiggs,840,31,45,50,0,126,126,
