Precinct,County,Registered Voters,"Harold L. Reece, Jr. (I) (Dem)_Election Day Votes","Harold L. Reece, Jr. (I) (Dem)_Advanced Voting Votes","Harold L. Reece, Jr. (I) (Dem)_Absentee by Mail Votes","Harold L. Reece, Jr. (I) (Dem)_Provisional Votes","Harold L. Reece, Jr. (I) (Dem)_Choice Total",Total,
Dry Branch,Twiggs,1550,291,350,150,0,791,791,
Golden Isles,Twiggs,1692,301,445,272,1,1019,1019,
Higgsville,Twiggs,758,175,236,90,0,501,501,
Jeffersonville/Ware,Twiggs,1464,183,520,260,3,966,966,
Shady Grove/Tarvers,Twiggs,840,138,254,138,0,530,530,
