Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Precinct 1,Seminole,1292,188,341,83,0,612,61,104,28,0,193,805,
Precinct 2,Seminole,1122,98,349,83,0,530,46,105,16,0,167,697,
Precinct 3,Seminole,1174,119,227,59,0,405,36,94,32,0,162,567,
Precinct 4,Seminole,1121,193,300,61,0,554,80,68,15,0,163,717,
Precinct 5,Seminole,1227,255,264,94,0,613,88,81,16,0,185,798,
