Precinct,County,Registered Voters,Hattie Holmes Sullivan (I) (Dem)_Election Day Votes,Hattie Holmes Sullivan (I) (Dem)_Advanced Voting Votes,Hattie Holmes Sullivan (I) (Dem)_Absentee by Mail Votes,Hattie Holmes Sullivan (I) (Dem)_Provisional Votes,Hattie Holmes Sullivan (I) (Dem)_Choice Total,Total,
101,Richmond,896,132,202,154,3,491,491,
102,Richmond,1278,153,189,199,3,544,544,
103,Richmond,1428,158,286,273,2,719,719,
104,Richmond,2976,428,533,563,4,1528,1528,
105,Richmond,832,113,217,169,1,500,500,
106,Richmond,1182,159,128,137,1,425,425,
107,Richmond,1800,219,379,330,1,929,929,
108,Richmond,517,71,108,118,0,297,297,
109,Richmond,1052,117,257,178,1,553,553,
111,Richmond,1578,194,276,291,1,762,762,
112,Richmond,882,57,156,191,2,406,406,
114,Richmond,856,113,140,145,1,399,399,
201,Richmond,581,233,264,229,4,730,730,
115,Richmond,1332,64,70,70,0,204,204,
202,Richmond,4492,611,853,626,7,2097,2097,
203,Richmond,991,137,164,196,2,499,499,
204,Richmond,1578,219,339,239,3,800,800,
207,Richmond,2705,343,437,417,8,1205,1205,
208,Richmond,2651,342,521,418,4,1285,1285,
210,Richmond,1507,165,343,362,4,874,874,
301,Richmond,2409,310,611,411,1,1333,1333,
302,Richmond,1032,155,241,133,0,529,529,
303,Richmond,1417,123,401,225,1,750,750,
304,Richmond,365,51,83,63,0,197,197,
305,Richmond,428,39,129,89,0,257,257,
306,Richmond,3934,406,1004,671,3,2084,2084,
307,Richmond,1642,172,379,295,0,846,846,
308,Richmond,622,69,145,92,1,307,307,
309,Richmond,3340,341,1148,778,3,2270,2270,
310,Richmond,5163,526,1534,1029,3,3092,3092,
401,Richmond,2093,242,720,499,0,1461,1461,
402,Richmond,3311,456,557,551,4,1568,1568,
404,Richmond,1748,247,472,368,3,1090,1090,
405,Richmond,4424,361,1474,1132,2,2969,2969,
406,Richmond,3221,344,1025,815,4,2188,2188,
501,Richmond,3549,396,760,779,4,1939,1939,
502,Richmond,4138,507,984,893,8,2392,2392,
503,Richmond,4021,412,963,798,5,2178,2178,
504,Richmond,2339,321,420,331,5,1077,1077,
506,Richmond,416,48,88,47,2,185,185,
507,Richmond,968,160,239,147,1,547,547,
509,Richmond,2172,229,638,463,5,1335,1335,
601,Richmond,3988,408,919,602,15,1944,1944,
603,Richmond,3570,483,653,501,2,1639,1639,
604,Richmond,1811,266,341,270,0,877,877,
605,Richmond,3880,440,790,645,1,1876,1876,
607,Richmond,1812,201,543,421,1,1166,1166,
608,Richmond,1472,210,306,208,1,725,725,
701,Richmond,2403,275,558,418,2,1253,1253,
702,Richmond,1943,277,438,252,0,967,967,
703,Richmond,4644,537,1066,604,6,2213,2213,
705,Richmond,2276,242,563,419,1,1225,1225,
706,Richmond,3315,279,931,563,2,1775,1775,
707,Richmond,2122,312,537,258,2,1109,1109,
708,Richmond,305,17,92,35,0,144,144,
709,Richmond,576,54,144,112,0,310,310,
801,Richmond,523,100,48,72,1,221,221,
801B,Richmond,523,123,36,63,0,222,222,
802,Richmond,3251,559,462,417,3,1441,1441,
803,Richmond,252,30,38,28,1,97,97,
804,Richmond,2096,254,512,316,0,1082,1082,
804H,Richmond,2863,375,620,458,4,1457,1457,
805,Richmond,798,103,225,127,1,456,456,
806,Richmond,1212,192,250,158,1,601,601,
807,Richmond,1578,176,369,276,1,822,822,
808,Richmond,2366,339,582,385,1,1307,1307,
809,Richmond,879,82,314,200,2,598,598,
810,Richmond,425,40,123,68,0,231,231,
