Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
101,Richmond,896,115,120,58,1,294,69,150,134,2,355,4,3,1,0,8,657,
102,Richmond,1278,56,62,42,0,160,128,168,184,3,483,4,2,2,0,8,651,
103,Richmond,1428,6,15,5,0,26,160,302,288,2,752,1,1,0,0,2,780,
104,Richmond,2976,25,51,33,0,109,427,529,578,6,1540,10,3,4,0,17,1666,
105,Richmond,832,7,17,10,0,34,114,225,171,1,511,1,2,2,0,5,550,
106,Richmond,1182,43,50,32,0,125,143,109,130,2,384,3,3,3,0,9,518,
107,Richmond,1800,184,255,139,0,578,131,262,303,1,697,5,9,6,0,20,1295,
108,Richmond,517,17,14,9,0,40,59,109,119,0,287,2,3,2,0,7,334,
109,Richmond,1052,29,43,26,0,98,99,241,174,1,515,6,5,7,0,18,631,
111,Richmond,1578,56,80,48,0,184,168,259,276,1,704,3,1,4,0,8,896,
112,Richmond,882,22,83,97,0,202,44,129,161,2,336,1,3,2,0,6,544,
114,Richmond,856,21,18,17,0,56,112,137,135,1,385,0,0,2,0,2,443,
201,Richmond,581,16,8,9,1,34,246,273,226,4,749,5,4,1,0,10,793,
115,Richmond,1332,43,41,24,0,108,42,46,58,0,146,6,2,0,0,8,262,
202,Richmond,4492,217,290,220,0,727,499,741,541,9,1790,13,14,5,0,32,2549,
203,Richmond,991,4,5,2,0,11,140,179,204,3,526,5,0,1,0,6,543,
204,Richmond,1578,176,209,124,1,510,122,248,192,1,563,8,7,12,1,28,1101,
207,Richmond,2705,52,52,46,1,151,358,448,408,7,1221,6,2,3,0,11,1383,
208,Richmond,2651,82,98,60,1,241,307,489,393,3,1192,8,3,5,0,16,1449,
210,Richmond,1507,44,65,39,1,149,152,317,351,3,823,2,0,6,0,8,980,
301,Richmond,2409,323,562,268,1,1154,136,315,309,1,761,11,9,10,0,30,1945,
302,Richmond,1032,31,66,38,0,135,137,211,122,0,470,2,2,4,0,8,613,
