Precinct,County,Registered Voters,Sheila Clark Nelson (I) (Dem)_Election Day Votes,Sheila Clark Nelson (I) (Dem)_Advanced Voting Votes,Sheila Clark Nelson (I) (Dem)_Absentee by Mail Votes,Sheila Clark Nelson (I) (Dem)_Provisional Votes,Sheila Clark Nelson (I) (Dem)_Choice Total,Total,
104,Richmond,2976,433,541,559,3,1536,1536,
109,Richmond,1052,114,255,181,0,550,550,
114,Richmond,856,119,141,144,1,405,405,
115,Richmond,1332,62,66,70,0,198,198,
202,Richmond,4492,615,855,622,3,2095,2095,
501,Richmond,3549,404,768,781,1,1954,1954,
506,Richmond,416,49,90,45,2,186,186,
601,Richmond,3988,410,914,596,5,1925,1925,
603,Richmond,3570,477,648,490,1,1616,1616,
604,Richmond,1811,272,350,267,0,889,889,
605,Richmond,3880,449,788,634,0,1871,1871,
608,Richmond,1472,206,295,200,0,701,701,
802,Richmond,3251,547,454,407,2,1410,1410,
805,Richmond,798,98,227,128,1,454,454,
806,Richmond,1212,184,241,156,0,581,581,
808,Richmond,2366,339,576,379,1,1295,1295,
