Precinct,County,Registered Voters,"Harold V. Jones, II (I) (Dem)_Election Day Votes","Harold V. Jones, II (I) (Dem)_Advanced Voting Votes","Harold V. Jones, II (I) (Dem)_Absentee by Mail Votes","Harold V. Jones, II (I) (Dem)_Provisional Votes","Harold V. Jones, II (I) (Dem)_Choice Total",Total,
101,Richmond,896,129,208,150,0,487,487,
102,Richmond,1278,150,188,195,3,536,536,
103,Richmond,1428,159,290,275,2,726,726,
104,Richmond,2976,440,544,559,5,1548,1548,
105,Richmond,832,112,221,167,1,501,501,
106,Richmond,1182,160,130,135,2,427,427,
107,Richmond,1800,220,375,330,1,926,926,
108,Richmond,517,71,112,116,0,299,299,
109,Richmond,1052,116,269,180,1,566,566,
111,Richmond,1578,200,282,291,1,774,774,
112,Richmond,882,56,157,187,2,402,402,
114,Richmond,856,117,142,141,1,401,401,
201,Richmond,581,240,266,226,4,736,736,
115,Richmond,1332,65,70,68,0,203,203,
202,Richmond,4492,614,852,625,7,2098,2098,
203,Richmond,991,137,161,189,3,490,490,
204,Richmond,1578,214,349,237,3,803,803,
207,Richmond,2705,348,437,413,8,1206,1206,
208,Richmond,2651,341,523,418,2,1284,1284,
210,Richmond,1507,168,351,365,4,888,888,
301,Richmond,2409,309,608,437,0,1354,1354,
302,Richmond,1032,151,243,137,0,531,531,
303,Richmond,1417,119,386,236,1,742,742,
304,Richmond,365,47,84,66,0,197,197,
305,Richmond,428,38,122,87,0,247,247,
306,Richmond,3934,402,1013,674,3,2092,2092,
307,Richmond,1642,163,379,297,0,839,839,
309,Richmond,3340,347,1144,768,3,2262,2262,
310,Richmond,5163,525,1538,1024,3,3090,3090,
401,Richmond,2093,246,719,499,0,1464,1464,
402,Richmond,3311,467,567,536,4,1574,1574,
404,Richmond,1748,249,475,366,4,1094,1094,
405,Richmond,4424,360,1490,1131,4,2985,2985,
406,Richmond,3221,351,1021,803,4,2179,2179,
501,Richmond,3549,405,762,786,3,1956,1956,
502,Richmond,4138,504,991,894,7,2396,2396,
503,Richmond,4021,415,960,805,5,2185,2185,
504,Richmond,2339,321,421,321,2,1065,1065,
506,Richmond,416,49,88,44,2,183,183,
507,Richmond,968,160,240,147,1,548,548,
509,Richmond,2172,231,636,455,4,1326,1326,
601,Richmond,3988,409,915,592,15,1931,1931,
603,Richmond,3570,490,663,503,2,1658,1658,
604,Richmond,1811,264,340,260,0,864,864,
605,Richmond,3880,441,783,636,2,1862,1862,
607,Richmond,1812,200,546,416,2,1164,1164,
701,Richmond,2403,270,559,411,2,1242,1242,
702,Richmond,1943,261,437,253,0,951,951,
703,Richmond,4644,532,1063,601,4,2200,2200,
801,Richmond,523,99,48,69,1,217,217,
801B,Richmond,523,128,35,61,0,224,224,
803,Richmond,252,29,38,29,1,97,97,
804,Richmond,2096,258,513,308,0,1079,1079,
805,Richmond,798,99,222,128,1,450,450,
807,Richmond,1578,174,367,273,1,815,815,
809,Richmond,879,83,320,197,2,602,602,
