Precinct,County,Registered Voters,"Gerald """"Jerry"""" Johnson (I) (Rep)_Election Day Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Advanced Voting Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Absentee by Mail Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Provisional Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Choice Total",Total,
Habersham North,Habersham,9096,695,4268,1107,5,6075,6075,
Habersham South,Habersham,6171,601,2339,670,6,3616,3616,
Demorest,Habersham,4963,524,2151,575,2,3252,3252,
Town of Mt Airy,Habersham,790,110,267,71,2,450,450,
City of Baldwin,Habersham,1252,174,344,112,0,630,630,
Mud Creek,Habersham,4435,527,1715,501,2,2745,2745,
Amys Creek,Habersham,1557,278,596,194,0,1068,1068,
