Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Habersham North,Habersham,9096,621,4090,999,8,5718,94,567,417,1,1079,38,109,33,1,181,6978,
Habersham South,Habersham,6171,486,2121,590,6,3203,148,395,267,1,811,40,66,16,0,122,4136,
Demorest,Habersham,4963,471,2058,497,1,3027,77,249,175,1,502,19,49,27,0,95,3624,
Town of Mt Airy,Habersham,790,95,235,65,2,397,20,58,26,0,104,6,8,5,0,19,520,
City of Baldwin,Habersham,1252,140,292,90,0,522,39,73,50,0,162,7,12,2,0,21,705,
Mud Creek,Habersham,4435,471,1615,444,2,2532,87,202,154,0,443,19,32,19,0,70,3045,
Amys Creek,Habersham,1557,267,553,166,0,986,28,103,108,0,239,11,10,5,0,26,1251,
