Precinct,County,Registered Voters,June Black-Warren (I) (Rep)_Election Day Votes,June Black-Warren (I) (Rep)_Advanced Voting Votes,June Black-Warren (I) (Rep)_Absentee by Mail Votes,June Black-Warren (I) (Rep)_Provisional Votes,June Black-Warren (I) (Rep)_Choice Total,Total,
Habersham North,Habersham,9096,703,4317,1171,5,6196,6196,
Habersham South,Habersham,6171,605,2376,713,6,3700,3700,
Demorest,Habersham,4963,526,2166,593,2,3287,3287,
Town of Mt Airy,Habersham,790,117,273,73,2,465,465,
City of Baldwin,Habersham,1252,174,342,115,0,631,631,
Mud Creek,Habersham,4435,538,1727,532,2,2799,2799,
Amys Creek,Habersham,1557,277,591,207,0,1075,1075,
