Precinct,County,Registered Voters,Janis G. Mangum (I) (Rep)_Election Day Votes,Janis G. Mangum (I) (Rep)_Advanced Voting Votes,Janis G. Mangum (I) (Rep)_Absentee by Mail Votes,Janis G. Mangum (I) (Rep)_Provisional Votes,Janis G. Mangum (I) (Rep)_Choice Total,Total,
Central Jackson,Jackson,16263,1656,7390,1666,2,10714,10714,
North Jackson,Jackson,12699,1440,5018,1512,1,7971,7971,
West Jackson,Jackson,14977,1636,7077,1791,2,10506,10506,
South Jackson,Jackson,8012,969,2958,956,1,4884,4884,
