Precinct,County,Registered Voters,"Robert E. """"Chuck"""" Moseley (Rep)_Election Day Votes","Robert E. """"Chuck"""" Moseley (Rep)_Advanced Voting Votes","Robert E. """"Chuck"""" Moseley (Rep)_Absentee by Mail Votes","Robert E. """"Chuck"""" Moseley (Rep)_Provisional Votes","Robert E. """"Chuck"""" Moseley (Rep)_Choice Total","Kevin Johnson, Sr. (Dem)_Election Day Votes","Kevin Johnson, Sr. (Dem)_Advanced Voting Votes","Kevin Johnson, Sr. (Dem)_Absentee by Mail Votes","Kevin Johnson, Sr. (Dem)_Provisional Votes","Kevin Johnson, Sr. (Dem)_Choice Total",Total,
Odum,Wayne,1260,301,503,90,0,894,16,34,30,0,80,974,
Madray Springs,Wayne,1176,175,537,136,0,848,13,25,16,0,54,902,
Oglethorpe,Wayne,1741,227,726,163,0,1116,25,72,35,0,132,1248,
Screven,Wayne,1849,455,617,137,1,1210,60,61,36,1,158,1368,
Empire,Wayne,1106,186,517,97,0,800,12,37,17,0,66,866,
Red Hill,Wayne,1036,130,354,88,0,572,19,64,25,0,108,680,
Altamaha,Wayne,2857,221,974,188,3,1386,76,219,87,0,382,1768,
Gardi,Wayne,1123,284,342,109,2,737,21,20,25,0,66,803,
VFW,Wayne,1145,30,132,52,0,214,69,242,110,1,422,636,
Pine Street,Wayne,1140,60,283,82,0,425,69,178,57,0,304,729,
Unity,Wayne,1905,171,625,185,0,981,67,188,80,0,335,1316,
Rec Center,Wayne,1766,210,630,147,0,987,39,162,56,0,257,1244,
