Precinct,County,Registered Voters,Denise M. Griffis (I) (Rep)_Election Day Votes,Denise M. Griffis (I) (Rep)_Advanced Voting Votes,Denise M. Griffis (I) (Rep)_Absentee by Mail Votes,Denise M. Griffis (I) (Rep)_Provisional Votes,Denise M. Griffis (I) (Rep)_Choice Total,Total,
Odum,Wayne,1260,302,509,93,0,904,904,
Madray Springs,Wayne,1176,180,547,142,0,869,869,
Oglethorpe,Wayne,1741,244,769,181,0,1194,1194,
Screven,Wayne,1849,477,627,149,2,1255,1255,
Empire,Wayne,1106,190,526,100,0,816,816,
Red Hill,Wayne,1036,143,381,102,0,626,626,
Altamaha,Wayne,2857,262,1077,240,3,1582,1582,
Gardi,Wayne,1123,299,348,123,2,772,772,
VFW,Wayne,1145,67,251,90,0,408,408,
Pine Street,Wayne,1140,107,355,112,0,574,574,
Unity,Wayne,1905,205,714,220,0,1139,1139,
Rec Center,Wayne,1766,231,733,175,0,1139,1139,
