Precinct,County,Registered Voters,Leigh W. Starrett (I) (Rep)_Election Day Votes,Leigh W. Starrett (I) (Rep)_Advanced Voting Votes,Leigh W. Starrett (I) (Rep)_Absentee by Mail Votes,Leigh W. Starrett (I) (Rep)_Provisional Votes,Leigh W. Starrett (I) (Rep)_Choice Total,Total,
Elberton,Elbert,3798,288,1212,459,0,1959,1959,
Longstreet,Elbert,622,116,211,73,0,400,400,
Eliam,Elbert,748,165,270,102,0,537,537,
Petersburg,Elbert,377,109,98,59,0,266,266,
Wyche,Elbert,1095,150,459,137,0,746,746,
Moss-Ruckersville,Elbert,468,111,134,59,0,304,304,
Pike,Elbert,1596,250,487,225,0,962,962,
Gaines,Elbert,570,189,137,69,0,395,395,
Goshen,Elbert,1612,377,532,160,0,1069,1069,
Webbsboro,Elbert,408,102,143,46,0,291,291,
Centerville,Elbert,1011,223,353,96,0,672,672,
