Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Elberton,Elbert,3798,268,975,450,0,1693,107,416,174,0,697,2390,
Longstreet,Elbert,622,90,140,43,0,273,32,79,47,0,158,431,
Eliam,Elbert,748,131,185,80,0,396,41,82,42,0,165,561,
Petersburg,Elbert,377,77,66,37,0,180,36,32,29,0,97,277,
Wyche,Elbert,1095,104,325,105,0,534,56,152,48,0,256,790,
Moss-Ruckersville,Elbert,468,67,86,47,0,200,46,54,30,0,130,330,
Pike,Elbert,1596,156,358,206,0,720,102,187,96,0,385,1105,
Gaines,Elbert,570,133,93,41,0,267,53,43,25,0,121,388,
Goshen,Elbert,1612,260,385,120,0,765,123,167,78,0,368,1133,
Webbsboro,Elbert,408,60,91,31,0,182,37,52,22,0,111,293,
Centerville,Elbert,1011,154,243,74,0,471,66,115,44,0,225,696,
