Precinct,County,Registered Voters,James Max Strickland (I) (Dem)_Election Day Votes,James Max Strickland (I) (Dem)_Advanced Voting Votes,James Max Strickland (I) (Dem)_Absentee by Mail Votes,James Max Strickland (I) (Dem)_Provisional Votes,James Max Strickland (I) (Dem)_Choice Total,Total,
Sylvania,Screven,0,119,385,204,1,709,709,
Hunters,Screven,0,97,132,70,9,308,308,
Newington,Screven,0,247,265,95,0,607,607,
Jenk Hill Fire Sta,Screven,0,148,367,135,1,651,651,
Rocky Ford,Screven,0,103,143,66,0,312,312,
Bay Branch,Screven,0,180,332,76,1,589,589,
Hiltonia,Screven,0,152,280,96,0,528,528,
Screven Rec Dept,Screven,0,65,121,59,3,248,248,
Greenhill Church,Screven,0,177,268,81,0,526,526,
Sr Citizens Center,Screven,0,157,385,165,0,707,707,
Jackson Fire Station,Screven,0,108,82,48,0,238,238,
Cooperville Fire Station,Screven,0,32,79,44,3,158,158,
