Precinct,County,Registered Voters,J. C. Warren (I) (Dem)_Election Day Votes,J. C. Warren (I) (Dem)_Advanced Voting Votes,J. C. Warren (I) (Dem)_Absentee by Mail Votes,J. C. Warren (I) (Dem)_Provisional Votes,J. C. Warren (I) (Dem)_Choice Total,Total,
Jenk Hill Fire Sta,Screven,0,149,357,132,1,639,639,
Cooperville Fire Station,Screven,0,31,82,45,3,161,161,
