Precinct,County,Registered Voters,Leslie Johnson (I) (Rep)_Election Day Votes,Leslie Johnson (I) (Rep)_Advanced Voting Votes,Leslie Johnson (I) (Rep)_Absentee by Mail Votes,Leslie Johnson (I) (Rep)_Provisional Votes,Leslie Johnson (I) (Rep)_Choice Total,Total,
Precinct 1,Seminole,1292,234,442,102,0,778,778,
Precinct 2,Seminole,1122,132,419,87,0,638,638,
Precinct 3,Seminole,1174,112,234,73,0,419,419,
Precinct 4,Seminole,1121,267,349,74,0,690,690,
Precinct 5,Seminole,1227,341,330,106,0,777,777,
