Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
Precinct 1,Seminole,1292,201,349,66,0,616,60,129,53,0,242,858,
Precinct 2,Seminole,1122,97,311,51,0,459,47,171,59,0,277,736,
Precinct 3,Seminole,1174,29,48,4,0,81,136,292,101,0,529,610,
Precinct 4,Seminole,1121,218,301,52,0,571,68,84,30,0,182,753,
Precinct 5,Seminole,1227,316,305,72,0,693,36,51,44,0,131,824,
