Precinct,County,Registered Voters,Heath Elliott (I) (Rep)_Election Day Votes,Heath Elliott (I) (Rep)_Advanced Voting Votes,Heath Elliott (I) (Rep)_Absentee by Mail Votes,Heath Elliott (I) (Rep)_Provisional Votes,Heath Elliott (I) (Rep)_Choice Total,Total,
Precinct 1,Seminole,1292,237,448,102,0,787,787,
Precinct 2,Seminole,1122,131,419,85,0,635,635,
Precinct 3,Seminole,1174,117,256,79,0,452,452,
Precinct 4,Seminole,1121,272,354,76,0,702,702,
Precinct 5,Seminole,1227,333,334,106,0,773,773,
