Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Precinct 1,Seminole,1292,217,361,68,0,646,47,113,50,0,210,5,8,0,0,13,869,
Precinct 2,Seminole,1122,102,336,57,0,495,39,150,43,0,232,4,6,3,0,13,740,
Precinct 3,Seminole,1174,39,62,10,0,111,131,281,86,0,498,0,6,0,0,6,615,
Precinct 4,Seminole,1121,246,310,56,0,612,45,78,25,0,148,5,4,2,0,11,771,
Precinct 5,Seminole,1227,330,323,80,0,733,29,35,35,0,99,7,2,2,0,11,843,
