Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Precinct 1,Seminole,1292,232,424,98,0,754,754,
Precinct 2,Seminole,1122,131,407,76,0,614,614,
Precinct 3,Seminole,1174,104,200,56,0,360,360,
Precinct 4,Seminole,1121,257,341,67,0,665,665,
Precinct 5,Seminole,1227,336,334,92,0,762,762,
