Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
Fairfield,Carroll,3867,908,1197,358,0,2463,2463,
Hulett,Carroll,2408,522,817,174,0,1513,1513,
Whitesburg,Carroll,2190,562,586,159,0,1307,1307,
Roopville,Carroll,3200,316,540,103,1,960,960,
