Precinct,County,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,
Kansas,Carroll,1165,439,261,88,1,789,16,20,21,0,57,846,
Bowdon,Carroll,3289,630,667,224,1,1522,102,186,133,1,422,1944,
Sandhill,Carroll,4459,498,1338,263,2,2101,128,387,180,1,696,2797,
Center Point,Carroll,1775,451,597,148,1,1197,27,68,43,0,138,1335,
Mt Zion,Carroll,2641,625,668,177,0,1470,64,105,75,0,244,1714,
Burwell,Carroll,1564,389,384,126,2,901,48,72,55,0,175,1076,
Clem,Carroll,3695,455,1419,293,2,2169,91,294,148,1,534,2703,
Bowdon Junction,Carroll,1547,240,408,96,0,744,45,91,60,0,196,940,
Tyus,Carroll,1920,542,505,135,0,1182,41,64,57,1,163,1345,
Bethany,Carroll,4779,386,1026,203,1,1616,183,564,267,0,1014,2630,
V R County South,Carroll,2942,280,989,227,1,1497,69,209,113,0,391,1888,
V R County North,Carroll,5472,531,1529,315,0,2375,160,515,320,0,995,3370,
Villa Rica City,Carroll,7250,420,1390,310,0,2120,343,1158,573,1,2075,4195,
Temple County,Carroll,4354,641,1251,264,1,2157,102,231,143,2,478,2635,
Temple City,Carroll,3700,548,809,167,2,1526,170,389,193,1,753,2279,
Roopville,Carroll,3200,332,514,126,1,973,36,61,72,0,169,1142,
West Carrollton,Carroll,4380,145,581,142,1,869,276,743,314,3,1336,2205,
Lakeshore Rec Center,Carroll,1671,101,408,105,1,615,52,249,104,0,405,1020,
Bonner,Carroll,3736,214,1038,201,1,1454,130,568,202,1,901,2355,
University of W GA,Carroll,2164,128,522,111,0,761,149,235,121,1,506,1267,
County Admin Bldg,Carroll,2620,161,744,170,1,1076,80,396,181,1,658,1734,
Tabernacle Church,Carroll,1628,110,488,178,1,777,62,181,94,0,337,1114,
Burson Center,Carroll,1466,127,427,95,1,650,45,178,88,0,311,961,
Old Camp Church,Carroll,2297,360,763,177,1,1301,62,189,99,0,350,1651,
Oak Grove,Carroll,1668,295,491,92,0,878,35,115,70,0,220,1098,
