Precinct,County,Registered Voters,J. Collins (I) (Rep)_Election Day Votes,J. Collins (I) (Rep)_Advanced Voting Votes,J. Collins (I) (Rep)_Absentee by Mail Votes,J. Collins (I) (Rep)_Provisional Votes,J. Collins (I) (Rep)_Choice Total,Total,
Sandhill,Carroll,4459,570,1551,334,0,2455,2455,
Center Point,Carroll,1775,463,632,158,0,1253,1253,
Fairfield,Carroll,3867,908,1207,360,0,2475,2475,
Hulett,Carroll,2408,529,829,177,0,1535,1535,
Bethany,Carroll,4779,362,964,236,1,1563,1563,
V R County South,Carroll,2942,332,1109,268,1,1710,1710,
V R County North,Carroll,5472,641,1805,456,0,2902,2902,
Villa Rica City,Carroll,7250,644,2015,556,0,3215,3215,
Temple County,Carroll,4354,701,1367,325,0,2393,2393,
Temple City,Carroll,3700,652,1016,256,1,1925,1925,
