Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Kansas,Carroll,1165,430,250,83,1,764,16,20,24,0,60,10,10,2,0,22,846,
Bowdon,Carroll,3289,594,648,200,1,1443,112,178,148,1,439,26,21,8,0,55,1937,
Sandhill,Carroll,4459,478,1294,243,2,2017,117,379,175,1,672,27,59,25,0,111,2800,
Center Point,Carroll,1775,437,593,143,1,1174,22,61,41,0,124,16,12,4,0,32,1330,
Mt Zion,Carroll,2641,607,641,163,0,1411,63,107,80,0,250,24,28,11,0,63,1724,
Burwell,Carroll,1564,368,371,123,2,864,53,71,53,0,177,12,13,5,0,30,1071,
Clem,Carroll,3695,435,1360,259,1,2055,88,285,161,2,536,23,57,16,0,96,2687,
Bowdon Junction,Carroll,1547,232,391,91,0,714,45,91,59,0,195,10,16,7,0,33,942,
Tyus,Carroll,1920,533,490,126,0,1149,39,67,59,1,166,9,11,5,0,25,1340,
Fairfield,Carroll,3867,811,1042,267,0,2120,140,303,241,0,684,35,40,17,0,92,2896,
Hulett,Carroll,2408,469,755,143,0,1367,61,129,79,0,269,36,27,8,0,71,1707,
Bethany,Carroll,4779,357,996,183,0,1536,169,533,279,1,982,47,63,13,0,123,2641,
V R County South,Carroll,2942,274,964,217,1,1456,69,193,115,0,377,7,44,9,0,60,1893,
V R County North,Carroll,5472,513,1486,295,0,2294,138,489,322,0,949,50,77,20,0,147,3390,
Villa Rica City,Carroll,7250,394,1332,284,0,2010,323,1120,562,1,2006,51,88,36,0,175,4191,
Temple County,Carroll,4354,623,1217,249,2,2091,87,229,145,2,463,35,41,14,0,90,2644,
Temple City,Carroll,3700,532,787,158,2,1479,157,370,183,1,711,32,37,20,0,89,2279,
Whitesburg,Carroll,2190,519,538,137,0,1194,44,89,64,0,197,20,16,6,0,42,1433,
Roopville,Carroll,3200,610,1004,205,4,1823,54,121,108,0,283,30,32,13,0,75,2181,
West Carrollton,Carroll,4380,138,539,119,1,797,249,738,313,3,1303,36,52,29,0,117,2217,
Lakeshore Rec Center,Carroll,1671,97,385,100,1,583,46,248,100,0,394,11,22,8,0,41,1018,
Bonner,Carroll,3736,201,976,167,2,1346,121,575,209,0,905,19,57,21,0,97,2348,
University of W GA,Carroll,2164,118,491,93,2,704,137,238,115,1,491,21,28,13,0,62,1257,
County Admin Bldg,Carroll,2620,156,690,145,1,992,64,403,186,0,653,22,47,19,1,89,1734,
Tabernacle Church,Carroll,1628,101,450,160,0,711,60,192,100,0,352,11,24,15,1,51,1114,
Burson Center,Carroll,1466,124,408,88,1,621,45,173,82,0,300,3,20,12,0,35,956,
Old Camp Church,Carroll,2297,340,724,162,2,1228,50,187,109,0,346,28,35,5,0,68,1642,
Oak Grove,Carroll,1668,286,465,85,1,837,29,124,70,0,223,16,11,6,0,33,1093,
