Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
Kansas,Carroll,1165,446,268,88,0,802,802,
Bowdon,Carroll,3289,691,753,279,1,1724,1724,
Sandhill,Carroll,4459,569,1538,326,3,2436,2436,
Center Point,Carroll,1775,461,625,160,1,1247,1247,
Mt Zion,Carroll,2641,660,716,208,0,1584,1584,
Burwell,Carroll,1564,410,411,144,2,967,967,
Clem,Carroll,3695,512,1540,354,2,2408,2408,
Bowdon Junction,Carroll,1547,263,443,121,0,827,827,
Tyus,Carroll,1920,563,529,149,1,1242,1242,
Fairfield,Carroll,3867,907,1205,351,0,2463,2463,
Hulett,Carroll,2408,517,820,175,0,1512,1512,
Bethany,Carroll,4779,498,1300,331,1,2130,2130,
V R County South,Carroll,2942,330,1086,259,1,1676,1676,
V R County North,Carroll,5472,631,1796,431,0,2858,2858,
Villa Rica City,Carroll,7250,640,1977,540,0,3157,3157,
Temple County,Carroll,4354,699,1358,317,3,2377,2377,
Temple City,Carroll,3700,649,1014,252,3,1918,1918,
Whitesburg,Carroll,2190,556,590,161,0,1307,1307,
Roopville,Carroll,3200,672,1083,262,4,2021,2021,
West Carrollton,Carroll,4380,309,976,295,2,1582,1582,
Lakeshore Rec Center,Carroll,1671,131,521,149,1,802,802,
Bonner,Carroll,3736,290,1327,287,2,1906,1906,
University of W GA,Carroll,2164,221,641,165,2,1029,1029,
County Admin Bldg,Carroll,2620,215,944,236,1,1396,1396,
Tabernacle Church,Carroll,1628,140,561,203,0,904,904,
Burson Center,Carroll,1466,151,525,130,0,806,806,
Old Camp Church,Carroll,2297,397,850,212,2,1461,1461,
Oak Grove,Carroll,1668,314,544,121,0,979,979,
