Precinct,County,Registered Voters,"Ernest """"Ernie"""" Reynolds (I) (Rep)_Election Day Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Advanced Voting Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Absentee by Mail Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Provisional Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Choice Total",Total,
Sandhill,Carroll,4459,297,806,175,1,1279,1279,
Clem,Carroll,3695,219,626,168,0,1013,1013,
Hulett,Carroll,2408,518,819,172,0,1509,1509,
Bethany,Carroll,4779,296,747,168,1,1212,1212,
Whitesburg,Carroll,2190,547,582,164,0,1293,1293,
Roopville,Carroll,3200,647,1013,261,0,1921,1921,
Bonner,Carroll,3736,8,65,6,1,80,80,
Old Camp Church,Carroll,2297,115,224,45,0,384,384,
