Precinct,County,Registered Voters,Montrell McClendon (I) (Rep)_Election Day Votes,Montrell McClendon (I) (Rep)_Advanced Voting Votes,Montrell McClendon (I) (Rep)_Absentee by Mail Votes,Montrell McClendon (I) (Rep)_Provisional Votes,Montrell McClendon (I) (Rep)_Choice Total,Total,
Sandhill,Carroll,4459,86,187,46,0,319,319,
Bethany,Carroll,4779,170,424,140,0,734,734,
West Carrollton,Carroll,4380,245,725,228,0,1198,1198,
Lakeshore Rec Center,Carroll,1671,130,531,157,0,818,818,
Bonner,Carroll,3736,152,540,138,0,830,830,
University of W GA,Carroll,2164,40,213,50,0,303,303,
Burson Center,Carroll,1466,110,323,94,0,527,527,
