Precinct,County,Registered Voters,Jesse Houle_Election Day Votes,Jesse Houle_Advanced Voting Votes,Jesse Houle_Absentee by Mail Votes,Jesse Houle_Provisional Votes,Jesse Houle_Choice Total,Chad Lowery_Election Day Votes,Chad Lowery_Advanced Voting Votes,Chad Lowery_Absentee by Mail Votes,Chad Lowery_Provisional Votes,Chad Lowery_Choice Total,Total,
6A,Clarke,3780,158,516,486,2,1162,194,552,402,0,1148,2310,
6B,Clarke,3865,157,506,562,0,1225,188,457,390,0,1035,2260,
6D,Clarke,1701,114,376,310,0,800,89,166,123,0,378,1178,
