Precinct,County,Registered Voters,Sonny Wilson (I) (Dem)_Election Day Votes,Sonny Wilson (I) (Dem)_Advanced Voting Votes,Sonny Wilson (I) (Dem)_Absentee by Mail Votes,Sonny Wilson (I) (Dem)_Provisional Votes,Sonny Wilson (I) (Dem)_Choice Total,Total,
1A,Clarke,3017,460,614,563,3,1640,1640,
1B,Clarke,3645,283,970,860,4,2117,2117,
1C,Clarke,2242,234,703,651,0,1588,1588,
1D,Clarke,2830,276,807,883,1,1967,1967,
2A,Clarke,4341,548,830,737,1,2116,2116,
2B,Clarke,5136,499,1215,741,3,2458,2458,
3A,Clarke,2938,294,626,455,5,1380,1380,
3B,Clarke,4122,350,1101,581,4,2036,2036,
4A,Clarke,2072,231,590,366,1,1188,1188,
4B,Clarke,4096,416,1298,690,2,2406,2406,
5A,Clarke,3007,258,1053,692,0,2003,2003,
5B,Clarke,3030,325,795,757,1,1878,1878,
5C,Clarke,2053,164,799,478,1,1442,1442,
5D,Clarke,3087,382,764,502,4,1652,1652,
6A,Clarke,3780,331,1019,826,4,2180,2180,
6B,Clarke,3865,352,1001,980,1,2334,2334,
6C,Clarke,3129,300,862,794,0,1956,1956,
6D,Clarke,1701,184,537,421,0,1142,1142,
7A,Clarke,2968,306,853,716,1,1876,1876,
7B,Clarke,3166,248,928,735,2,1913,1913,
7C,Clarke,2733,288,856,638,1,1783,1783,
8A,Clarke,3319,278,805,800,3,1886,1886,
8B,Clarke,2317,256,552,565,0,1373,1373,
8C,Clarke,3910,405,1024,818,4,2251,2251,
