Precinct,County,Registered Voters,Beverly Logan (I) (Dem)_Election Day Votes,Beverly Logan (I) (Dem)_Advanced Voting Votes,Beverly Logan (I) (Dem)_Absentee by Mail Votes,Beverly Logan (I) (Dem)_Provisional Votes,Beverly Logan (I) (Dem)_Choice Total,Total,
1A,Clarke,3017,444,602,555,3,1604,1604,
1B,Clarke,3645,270,948,863,3,2084,2084,
1C,Clarke,2242,227,694,649,0,1570,1570,
1D,Clarke,2830,263,796,885,0,1944,1944,
2A,Clarke,4341,537,829,730,1,2097,2097,
2B,Clarke,5136,491,1205,742,3,2441,2441,
3A,Clarke,2938,292,623,452,5,1372,1372,
3B,Clarke,4122,336,1100,584,3,2023,2023,
4A,Clarke,2072,222,579,373,1,1175,1175,
4B,Clarke,4096,400,1279,696,2,2377,2377,
5A,Clarke,3007,247,1064,706,0,2017,2017,
5B,Clarke,3030,312,787,754,1,1854,1854,
5C,Clarke,2053,162,801,477,1,1441,1441,
5D,Clarke,3087,375,749,500,4,1628,1628,
6A,Clarke,3780,329,998,831,4,2162,2162,
6B,Clarke,3865,337,1007,978,1,2323,2323,
6C,Clarke,3129,285,845,788,0,1918,1918,
6D,Clarke,1701,182,532,428,0,1142,1142,
7A,Clarke,2968,291,847,713,1,1852,1852,
7B,Clarke,3166,249,902,743,2,1896,1896,
7C,Clarke,2733,282,848,640,1,1771,1771,
8A,Clarke,3319,269,802,796,3,1870,1870,
8B,Clarke,2317,252,545,570,0,1367,1367,
8C,Clarke,3910,399,1005,826,3,2233,2233,
