Precinct,County,Registered Voters,Betty Lynn Johnson (I) (Dem)_Election Day Votes,Betty Lynn Johnson (I) (Dem)_Advanced Voting Votes,Betty Lynn Johnson (I) (Dem)_Absentee by Mail Votes,Betty Lynn Johnson (I) (Dem)_Provisional Votes,Betty Lynn Johnson (I) (Dem)_Choice Total,Total,
East,Ben Hill,3956,269,1317,448,1,2035,2035,
West,Ben Hill,5898,403,2465,631,0,3499,3499,
