Precinct,County,Registered Voters,Mark Shealy (Rep)_Election Day Votes,Mark Shealy (Rep)_Advanced Voting Votes,Mark Shealy (Rep)_Absentee by Mail Votes,Mark Shealy (Rep)_Provisional Votes,Mark Shealy (Rep)_Choice Total,Total,
East,Ben Hill,3956,254,1294,340,0,1888,1888,
West,Ben Hill,5898,396,2573,565,0,3534,3534,
