Precinct,County,Registered Voters,Jack Browning (I) (Rep)_Election Day Votes,Jack Browning (I) (Rep)_Advanced Voting Votes,Jack Browning (I) (Rep)_Absentee by Mail Votes,Jack Browning (I) (Rep)_Provisional Votes,Jack Browning (I) (Rep)_Choice Total,Total,
Bremen,Haralson,6622,1074,2427,725,0,4226,4226,
Buchanan,Haralson,2365,404,846,246,1,1497,1497,
Buncombe,Haralson,1075,299,263,99,0,661,661,
Corinth,Haralson,1682,397,533,148,0,1078,1078,
Twentieth,Haralson,738,223,193,82,0,498,498,
Felton,Haralson,304,102,75,23,0,200,200,
Little Creek,Haralson,699,265,166,70,0,501,501,
Mt View,Haralson,330,138,69,26,0,233,233,
Seventh,Haralson,1932,396,597,176,2,1171,1171,
Berea-Steadman,Haralson,665,219,167,55,0,441,441,
Tallapoosa,Haralson,3072,606,883,337,1,1827,1827,
Waco,Haralson,1183,330,309,97,0,736,736,
