Precinct,County,Registered Voters,Patty S. Hutcheson (Rep)_Election Day Votes,Patty S. Hutcheson (Rep)_Advanced Voting Votes,Patty S. Hutcheson (Rep)_Absentee by Mail Votes,Patty S. Hutcheson (Rep)_Provisional Votes,Patty S. Hutcheson (Rep)_Choice Total,Total,
Bremen,Haralson,6622,1066,2434,723,0,4223,4223,
Buchanan,Haralson,2365,413,864,255,1,1533,1533,
Buncombe,Haralson,1075,302,268,99,0,669,669,
Corinth,Haralson,1682,398,536,156,0,1090,1090,
Twentieth,Haralson,738,223,194,82,0,499,499,
Felton,Haralson,304,109,75,23,0,207,207,
Little Creek,Haralson,699,268,165,69,0,502,502,
Mt View,Haralson,330,138,69,26,0,233,233,
Seventh,Haralson,1932,394,604,178,2,1178,1178,
Berea-Steadman,Haralson,665,216,167,60,0,443,443,
Tallapoosa,Haralson,3072,612,895,345,1,1853,1853,
Waco,Haralson,1183,336,311,100,0,747,747,
