Precinct,County,Registered Voters,"Ray """"Slugger"""" Carter (I) (Rep)_Election Day Votes","Ray """"Slugger"""" Carter (I) (Rep)_Advanced Voting Votes","Ray """"Slugger"""" Carter (I) (Rep)_Absentee by Mail Votes","Ray """"Slugger"""" Carter (I) (Rep)_Provisional Votes","Ray """"Slugger"""" Carter (I) (Rep)_Choice Total",Total,
Aragon,Polk,3224,511,1264,236,3,2014,2014,
Blooming Grove,Polk,1659,297,590,117,3,1007,1007,
Cedartown,Polk,6205,587,2047,667,8,3309,3309,
Fish Creek,Polk,2566,391,1049,197,1,1638,1638,
Lake Creek,Polk,2828,408,1322,203,0,1933,1933,
Rockmart,Polk,5746,569,2498,453,1,3521,3521,
Youngs Grove,Polk,1961,329,770,165,1,1265,1265,
