Precinct,County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
ONeal,Talbot,555,93,141,100,0,334,334,
Valley,Talbot,688,127,149,135,0,411,411,
Junction City,Talbot,437,69,55,108,0,232,232,
Geneva,Talbot,482,69,83,122,1,275,275,
Talbotton,Talbot,884,129,175,216,0,520,520,
Box Springs,Talbot,469,95,59,74,0,228,228,
Flint Hill,Talbot,1048,197,257,199,0,653,653,
