Precinct,County,Registered Voters,Mildred Biggs (Dem)_Election Day Votes,Mildred Biggs (Dem)_Advanced Voting Votes,Mildred Biggs (Dem)_Absentee by Mail Votes,Mildred Biggs (Dem)_Provisional Votes,Mildred Biggs (Dem)_Choice Total,Total,
Junction City,Talbot,437,71,56,112,0,239,239,
Geneva,Talbot,482,79,95,131,1,306,306,
Talbotton,Talbot,884,6,10,13,0,29,29,
