Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
ONeal,Talbot,555,62,95,22,0,179,61,99,100,0,260,439,
Valley,Talbot,688,80,133,46,0,259,88,82,122,0,292,551,
Junction City,Talbot,437,36,48,23,0,107,52,39,118,0,209,316,
Geneva,Talbot,482,41,71,25,1,138,49,53,125,0,227,365,
Talbotton,Talbot,884,25,57,26,0,108,110,171,240,0,521,629,
Box Springs,Talbot,469,113,53,18,0,184,49,34,70,0,153,337,
Flint Hill,Talbot,1048,78,177,44,0,299,151,168,199,0,518,817,
