Precinct,County,Registered Voters,"Catherine """"Cat"""" Jenkins (Rep)_Election Day Votes","Catherine """"Cat"""" Jenkins (Rep)_Advanced Voting Votes","Catherine """"Cat"""" Jenkins (Rep)_Absentee by Mail Votes","Catherine """"Cat"""" Jenkins (Rep)_Provisional Votes","Catherine """"Cat"""" Jenkins (Rep)_Choice Total",Tiffany L. Prather (Dem)_Election Day Votes,Tiffany L. Prather (Dem)_Advanced Voting Votes,Tiffany L. Prather (Dem)_Absentee by Mail Votes,Tiffany L. Prather (Dem)_Provisional Votes,Tiffany L. Prather (Dem)_Choice Total,Total,
Chalybeate,Meriwether,451,118,87,23,0,228,66,28,29,0,123,351,
Gill I,Meriwether,1662,237,279,128,0,644,189,178,144,1,512,1156,
Gill II,Meriwether,1000,35,68,21,0,124,155,161,213,0,529,653,
Odessadale,Meriwether,296,32,76,22,0,130,34,23,42,1,100,230,
Greenville,Meriwether,2009,95,410,107,0,612,115,393,200,0,708,1320,
Lone Oak,Meriwether,1263,154,259,51,0,464,95,164,176,0,435,899,
Luthersville,Meriwether,2760,359,598,151,0,1108,190,296,248,0,734,1842,
Alvaton,Meriwether,1528,233,332,101,1,667,132,141,140,2,415,1082,
Gay,Meriwether,411,76,93,28,0,197,30,30,32,0,92,289,
Woodbury,Meriwether,1363,113,223,73,0,409,205,186,142,0,533,942,
Warm Springs,Meriwether,1161,140,230,76,1,447,128,153,71,0,352,799,
Durand,Meriwether,730,148,131,51,0,330,52,80,56,0,188,518,
Raleigh,Meriwether,501,83,134,34,0,251,47,52,24,0,123,374,
Cove,Meriwether,202,68,22,28,0,118,25,8,8,0,41,159,
