Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
Chalybeate,Meriwether,451,172,111,43,0,326,326,
Gill I,Meriwether,1662,348,387,208,1,944,944,
Gill II,Meriwether,1000,94,151,114,0,359,359,
Odessadale,Meriwether,296,46,88,40,1,175,175,
Greenville,Meriwether,2009,159,600,208,0,967,967,
Lone Oak,Meriwether,1263,202,338,126,0,666,666,
Luthersville,Meriwether,2760,471,744,246,0,1461,1461,
Alvaton,Meriwether,1528,305,404,162,1,872,872,
Gay,Meriwether,411,102,115,44,0,261,261,
Woodbury,Meriwether,1363,217,321,135,0,673,673,
Warm Springs,Meriwether,1161,215,313,114,1,643,643,
Durand,Meriwether,730,175,170,74,0,419,419,
Raleigh,Meriwether,501,122,167,46,0,335,335,
Cove,Meriwether,202,91,29,32,0,152,152,
