Precinct,County,Registered Voters,Steve Tarvin (I) (Rep)_Election Day Votes,Steve Tarvin (I) (Rep)_Advanced Voting Votes,Steve Tarvin (I) (Rep)_Absentee by Mail Votes,Steve Tarvin (I) (Rep)_Provisional Votes,Steve Tarvin (I) (Rep)_Choice Total,Total,
Blackstock,Catoosa,1952,396,624,122,0,1142,1142,
Chambers,Catoosa,2552,353,1172,223,1,1749,1749,
Woodstation,Catoosa,2946,570,1230,204,2,2006,2006,
