Precinct,County,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
Blackstock,Catoosa,1952,398,610,120,1,1129,1129,
Boynton,Catoosa,6027,759,2611,493,3,3866,3866,
Catoosa Keith,Catoosa,2611,514,890,193,0,1597,1597,
Chambers,Catoosa,2552,346,1131,228,4,1709,1709,
Ft Oglethorpe,Catoosa,4054,429,1427,388,1,2245,2245,
Graysville,Catoosa,4501,620,1717,318,3,2658,2658,
Lakeview,Catoosa,3572,393,1183,254,3,1833,1833,
Poplar Springs,Catoosa,4191,501,1759,326,0,2586,2586,
Ringgold,Catoosa,7414,655,3173,653,1,4482,4482,
Westside,Catoosa,5895,455,2316,508,2,3281,3281,
Woodstation,Catoosa,2946,553,1204,202,3,1962,1962,
