Precinct,County,Registered Voters,Tracy Hullender Brown (I) (Rep)_Election Day Votes,Tracy Hullender Brown (I) (Rep)_Advanced Voting Votes,Tracy Hullender Brown (I) (Rep)_Absentee by Mail Votes,Tracy Hullender Brown (I) (Rep)_Provisional Votes,Tracy Hullender Brown (I) (Rep)_Choice Total,Total,
Blackstock,Catoosa,1952,401,625,130,1,1157,1157,
Boynton,Catoosa,6027,766,2697,504,3,3970,3970,
Catoosa Keith,Catoosa,2611,521,935,203,0,1659,1659,
Chambers,Catoosa,2552,358,1180,227,2,1767,1767,
Ft Oglethorpe,Catoosa,4054,431,1468,384,1,2284,2284,
Graysville,Catoosa,4501,620,1750,330,3,2703,2703,
Lakeview,Catoosa,3572,393,1212,262,3,1870,1870,
Poplar Springs,Catoosa,4191,524,1825,341,0,2690,2690,
Ringgold,Catoosa,7414,666,3333,712,3,4714,4714,
Westside,Catoosa,5895,457,2354,517,2,3330,3330,
Woodstation,Catoosa,2946,569,1226,207,3,2005,2005,
