Precinct,County,Registered Voters,Brad White (I) (Rep)_Election Day Votes,Brad White (I) (Rep)_Advanced Voting Votes,Brad White (I) (Rep)_Absentee by Mail Votes,Brad White (I) (Rep)_Provisional Votes,Brad White (I) (Rep)_Choice Total,Total,
Barnesville,Lamar,2546,245,600,328,0,1173,1173,
Chappell Mill V FD,Lamar,1577,328,629,160,1,1118,1118,
Senior Citizen Bldg,Lamar,1337,179,460,153,1,793,793,
Redbone,Lamar,623,202,174,64,0,440,440,
L C S C,Lamar,2808,372,1170,306,6,1854,1854,
Milner,Lamar,3948,769,1534,380,1,2684,2684,
