Precinct,County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
Barnesville,Lamar,2546,111,286,100,0,497,168,433,354,0,955,1452,
Chappell Mill V FD,Lamar,1577,306,567,102,1,976,27,78,92,0,197,1173,
Senior Citizen Bldg,Lamar,1337,128,357,84,1,570,69,136,98,0,303,873,
Redbone,Lamar,623,188,160,44,0,392,14,29,28,0,71,463,
L C S C,Lamar,2808,332,1018,211,4,1565,62,197,148,1,408,1973,
Milner,Lamar,3948,685,1385,297,1,2368,106,228,143,1,478,2846,
