Precinct,County,Registered Voters,Tia McWilliams (Dem)_Election Day Votes,Tia McWilliams (Dem)_Advanced Voting Votes,Tia McWilliams (Dem)_Absentee by Mail Votes,Tia McWilliams (Dem)_Provisional Votes,Tia McWilliams (Dem)_Choice Total,Total,
Sharon,Taliaferro,253,64,48,43,0,155,155,
Crawfordville,Taliaferro,992,107,284,207,0,598,598,
