Precinct,County,Registered Voters,Milton Alexander (I) (Dem)_Election Day Votes,Milton Alexander (I) (Dem)_Advanced Voting Votes,Milton Alexander (I) (Dem)_Absentee by Mail Votes,Milton Alexander (I) (Dem)_Provisional Votes,Milton Alexander (I) (Dem)_Choice Total,Total,
Sharon,Taliaferro,253,56,46,39,1,142,142,
Crawfordville,Taliaferro,992,103,259,203,0,565,565,
