County,Precinct,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total Votes
Floyd,Alto Park,3360.0,380.0,1266.0,406.0,9.0,2061.0,2061.0
Floyd,Armuchee,1269.0,288.0,417.0,125.0,2.0,832.0,832.0
Floyd,Barkers,2355.0,417.0,986.0,218.0,6.0,1627.0,1627.0
Floyd,Cave Spring,1617.0,457.0,358.0,170.0,2.0,987.0,987.0
Floyd,Chulio,1155.0,294.0,357.0,117.0,11.0,779.0,779.0
Floyd,Etowah,4946.0,628.0,2075.0,529.0,8.0,3240.0,3240.0
Floyd,Everett Springs,421.0,181.0,77.0,39.0,3.0,300.0,300.0
Floyd,Floyd Springs,1666.0,414.0,606.0,162.0,23.0,1205.0,1205.0
Floyd,Fosters Mill,971.0,288.0,287.0,76.0,0.0,651.0,651.0
Floyd,Garden Lakes,2261.0,268.0,729.0,249.0,6.0,1252.0,1252.0
Floyd,Glenwood,3635.0,564.0,1163.0,366.0,1.0,2094.0,2094.0
Floyd,Howell,1492.0,419.0,438.0,137.0,1.0,995.0,995.0
Floyd,East Lindale,3398.0,490.0,1219.0,352.0,2.0,2063.0,2063.0
Floyd,Mt Alto North,5096.0,413.0,1586.0,510.0,11.0,2520.0,2520.0
Floyd,Mt Alto South,3923.0,435.0,1178.0,400.0,5.0,2018.0,2018.0
Floyd,North Carolina,1865.0,293.0,620.0,157.0,4.0,1074.0,1074.0
Floyd,Riverside,826.0,168.0,244.0,63.0,4.0,479.0,479.0
Floyd,East Rome,4238.0,368.0,1148.0,435.0,4.0,1955.0,1955.0
Floyd,North Rome,3369.0,232.0,877.0,471.0,7.0,1587.0,1587.0
Floyd,South Rome,1600.0,116.0,267.0,139.0,3.0,525.0,525.0
Floyd,Texas Valley,762.0,264.0,228.0,76.0,6.0,574.0,574.0
Floyd,Vanns Valley,896.0,159.0,222.0,97.0,3.0,481.0,481.0
Floyd,Watters,3566.0,702.0,1282.0,322.0,10.0,2316.0,2316.0
Floyd,West Lindale,2929.0,519.0,916.0,250.0,0.0,1685.0,1685.0
Floyd,Town Rome,3034.0,251.0,890.0,346.0,2.0,1489.0,1489.0
