Precinct,County,Registered Voters,Candace T. Lawson (I) (Rep)_Election Day Votes,Candace T. Lawson (I) (Rep)_Advanced Voting Votes,Candace T. Lawson (I) (Rep)_Absentee by Mail Votes,Candace T. Lawson (I) (Rep)_Provisional Votes,Candace T. Lawson (I) (Rep)_Choice Total,Total,
Greensboro,Greene,3999,287,1429,469,6,2191,2191,
Union Point,Greene,1873,245,543,241,0,1029,1029,
Siloam,Greene,991,131,305,119,0,555,555,
White Plains,Greene,347,47,130,42,0,219,219,
Old Salem,Greene,6961,525,3732,1248,3,5508,5508,
