Precinct,County,Registered Voters,Deborah D. Jackson (I) (Dem)_Election Day Votes,Deborah D. Jackson (I) (Dem)_Advanced Voting Votes,Deborah D. Jackson (I) (Dem)_Absentee by Mail Votes,Deborah D. Jackson (I) (Dem)_Provisional Votes,Deborah D. Jackson (I) (Dem)_Choice Total,Total,
Greensboro,Greene,3999,308,1401,621,6,2336,2336,
Union Point,Greene,1873,265,551,297,0,1113,1113,
Siloam,Greene,991,151,304,158,0,613,613,
White Plains,Greene,347,47,129,51,0,227,227,
Old Salem,Greene,6961,373,2682,987,4,4046,4046,
