Precinct,County,Registered Voters,Erica L. Woodford (I) (Dem)_Election Day Votes,Erica L. Woodford (I) (Dem)_Advanced Voting Votes,Erica L. Woodford (I) (Dem)_Absentee by Mail Votes,Erica L. Woodford (I) (Dem)_Provisional Votes,Erica L. Woodford (I) (Dem)_Choice Total,Total,
East Macon 1,Bibb,2108,241,363,315,6,925,925,
East Macon 2,Bibb,3932,461,1009,732,6,2208,2208,
East Macon 3,Bibb,3494,359,835,564,6,1764,1764,
East Macon 4,Bibb,2280,359,511,447,6,1323,1323,
East Macon 5,Bibb,2552,313,644,484,1,1442,1442,
Godfrey 1,Bibb,6283,605,1475,957,5,3042,3042,
Godfrey 2,Bibb,2158,220,356,247,1,824,824,
Godfrey 3,Bibb,3292,401,731,451,6,1589,1589,
Godfrey 4,Bibb,2231,259,352,262,0,873,873,
Godfrey 5,Bibb,4761,660,1133,638,3,2434,2434,
Hazzard 1,Bibb,3377,468,778,500,5,1751,1751,
Hazzard 2,Bibb,4173,666,1082,481,4,2233,2233,
Hazzard 3,Bibb,7068,690,1999,1105,12,3806,3806,
Hazzard 4,Bibb,4745,587,1378,735,2,2702,2702,
Howard 1,Bibb,3436,360,938,571,2,1871,1871,
Howard 2,Bibb,3394,383,935,529,4,1851,1851,
Howard 3,Bibb,6397,717,1842,957,3,3519,3519,
Howard 4,Bibb,1711,200,490,249,1,940,940,
Howard 5,Bibb,2272,352,599,242,4,1197,1197,
Howard 6,Bibb,2213,254,645,305,8,1212,1212,
Howard 7,Bibb,2897,373,799,454,3,1629,1629,
Rutland 1,Bibb,5704,790,1504,733,3,3030,3030,
Rutland 2,Bibb,3409,523,730,363,4,1620,1620,
Vineville 1,Bibb,3572,371,862,559,4,1796,1796,
Vineville 2,Bibb,2067,256,427,366,0,1049,1049,
Vineville 3,Bibb,3127,332,775,515,4,1626,1626,
Vineville 4,Bibb,4097,548,960,619,9,2136,2136,
Vineville 5,Bibb,2359,271,658,348,2,1279,1279,
Vineville 6,Bibb,3021,386,741,497,4,1628,1628,
Warrior 1,Bibb,2617,469,546,307,1,1323,1323,
Warrior 2,Bibb,3232,390,842,390,3,1625,1625,
