Precinct,County,Registered Voters,S. Wade McCord (I) (Dem)_Election Day Votes,S. Wade McCord (I) (Dem)_Advanced Voting Votes,S. Wade McCord (I) (Dem)_Absentee by Mail Votes,S. Wade McCord (I) (Dem)_Provisional Votes,S. Wade McCord (I) (Dem)_Choice Total,Total,
East Macon 1,Bibb,2108,240,371,322,6,939,939,
East Macon 2,Bibb,3932,462,997,759,7,2225,2225,
East Macon 3,Bibb,3494,364,855,587,7,1813,1813,
East Macon 4,Bibb,2280,354,508,458,6,1326,1326,
East Macon 5,Bibb,2552,312,649,494,2,1457,1457,
Godfrey 1,Bibb,6283,607,1476,979,5,3067,3067,
Godfrey 2,Bibb,2158,220,349,262,1,832,832,
Godfrey 3,Bibb,3292,393,720,456,6,1575,1575,
Godfrey 4,Bibb,2231,253,351,266,2,872,872,
Godfrey 5,Bibb,4761,658,1132,654,3,2447,2447,
Hazzard 1,Bibb,3377,471,777,523,3,1774,1774,
Hazzard 2,Bibb,4173,684,1094,509,5,2292,2292,
Hazzard 3,Bibb,7068,698,2034,1135,13,3880,3880,
Hazzard 4,Bibb,4745,625,1456,776,4,2861,2861,
Howard 1,Bibb,3436,384,1022,646,2,2054,2054,
Howard 2,Bibb,3394,399,998,595,4,1996,1996,
Howard 3,Bibb,6397,730,1918,1027,4,3679,3679,
Howard 4,Bibb,1711,207,513,259,1,980,980,
Howard 5,Bibb,2272,360,612,254,4,1230,1230,
Howard 6,Bibb,2213,268,683,326,10,1287,1287,
Howard 7,Bibb,2897,385,847,500,3,1735,1735,
Rutland 1,Bibb,5704,835,1594,790,3,3222,3222,
Rutland 2,Bibb,3409,572,777,397,5,1751,1751,
Vineville 1,Bibb,3572,377,874,570,4,1825,1825,
Vineville 2,Bibb,2067,259,442,365,0,1066,1066,
Vineville 3,Bibb,3127,327,768,531,4,1630,1630,
Vineville 4,Bibb,4097,551,959,633,9,2152,2152,
Vineville 5,Bibb,2359,284,693,376,2,1355,1355,
Vineville 6,Bibb,3021,399,782,527,5,1713,1713,
Warrior 1,Bibb,2617,483,575,337,2,1397,1397,
Warrior 2,Bibb,3232,413,892,414,3,1722,1722,
