Precinct,County,Registered Voters,Miriam Paris (I) (Dem)_Election Day Votes,Miriam Paris (I) (Dem)_Advanced Voting Votes,Miriam Paris (I) (Dem)_Absentee by Mail Votes,Miriam Paris (I) (Dem)_Provisional Votes,Miriam Paris (I) (Dem)_Choice Total,Total,
Godfrey 1,Bibb,6283,280,597,460,3,1340,1340,
Godfrey 3,Bibb,3292,392,724,459,3,1578,1578,
Godfrey 5,Bibb,4761,651,1130,659,1,2441,2441,
Hazzard 1,Bibb,3377,465,770,511,1,1747,1747,
Hazzard 3,Bibb,7068,672,1971,1112,6,3761,3761,
Rutland 1,Bibb,5704,742,1467,741,3,2953,2953,
Vineville 3,Bibb,3127,328,769,526,3,1626,1626,
Vineville 4,Bibb,4097,259,534,391,0,1184,1184,
Warrior 2,Bibb,3232,369,817,393,3,1582,1582,
