Precinct,County,Registered Voters,Robert Goff (I) (Rep)_Election Day Votes,Robert Goff (I) (Rep)_Advanced Voting Votes,Robert Goff (I) (Rep)_Absentee by Mail Votes,Robert Goff (I) (Rep)_Provisional Votes,Robert Goff (I) (Rep)_Choice Total,Total,
South Dade,Dade,969,189,299,66,0,554,554,
New Salem,Dade,1255,279,363,116,0,758,758,
Davis,Dade,2012,404,648,90,1,1143,1143,
New Home,Dade,711,206,144,56,0,406,406,
West Brow,Dade,1237,308,306,101,0,715,715,
Trenton,Dade,3573,319,1057,192,3,1571,1571,
North Dade,Dade,1903,291,575,118,1,985,985,
