Precinct,County,Registered Voters,Courtney Gross (I) (Rep)_Election Day Votes,Courtney Gross (I) (Rep)_Advanced Voting Votes,Courtney Gross (I) (Rep)_Absentee by Mail Votes,Courtney Gross (I) (Rep)_Provisional Votes,Courtney Gross (I) (Rep)_Choice Total,Total,
South Dade,Dade,969,197,321,64,0,582,582,
New Salem,Dade,1255,300,379,129,0,808,808,
Davis,Dade,2012,421,682,96,1,1200,1200,
New Home,Dade,711,219,151,54,1,425,425,
West Brow,Dade,1237,310,317,105,0,732,732,
Trenton,Dade,3573,340,1147,200,3,1690,1690,
North Dade,Dade,1903,305,608,125,1,1039,1039,
