Precinct,County,Registered Voters,Ray Cross (I) (Rep)_Election Day Votes,Ray Cross (I) (Rep)_Advanced Voting Votes,Ray Cross (I) (Rep)_Absentee by Mail Votes,Ray Cross (I) (Rep)_Provisional Votes,Ray Cross (I) (Rep)_Choice Total,Total,
South Dade,Dade,969,203,322,70,0,595,595,
New Salem,Dade,1255,302,382,131,0,815,815,
Davis,Dade,2012,419,679,94,1,1193,1193,
New Home,Dade,711,218,152,59,0,429,429,
West Brow,Dade,1237,316,318,108,0,742,742,
Trenton,Dade,3573,332,1149,207,3,1691,1691,
North Dade,Dade,1903,300,618,131,1,1050,1050,
