Precinct,County,Registered Voters,Mary Ellen Harnage (I) (Dem)_Election Day Votes,Mary Ellen Harnage (I) (Dem)_Advanced Voting Votes,Mary Ellen Harnage (I) (Dem)_Absentee by Mail Votes,Mary Ellen Harnage (I) (Dem)_Provisional Votes,Mary Ellen Harnage (I) (Dem)_Choice Total,Total,
Dawson,Terrell,3043,363,817,556,0,1736,1736,
Sasser,Terrell,1355,211,423,145,0,779,779,
Bronwood,Terrell,885,150,213,142,0,505,505,
Parrott,Terrell,412,145,87,48,0,280,280,
Graves,Terrell,598,121,159,94,0,374,374,
Herod-Dover,Terrell,301,75,65,43,0,183,183,
