Precinct,County,Registered Voters,Audrey Gibbons (Dem)_Election Day Votes,Audrey Gibbons (Dem)_Advanced Voting Votes,Audrey Gibbons (Dem)_Absentee by Mail Votes,Audrey Gibbons (Dem)_Provisional Votes,Audrey Gibbons (Dem)_Choice Total,Total,
College Place UMC,Glynn,2367,53,132,125,0,310,310,
Howard Coffin Park,Glynn,3320,251,719,438,2,1410,1410,
Urbana-Perry Parks,Glynn,3638,327,750,522,3,1602,1602,
Selden Park,Glynn,1439,113,249,170,1,533,533,
